Дата,Нед,Тип юнита,Рубрика/Кластер,Формат,Сегмент,Тема,Хук / Содержание,Структура (атом),CTA,Статус
2026-12-18,22,Карусель,РОСТ,ПЕРЕВЁРНУТЫЙ,Масштабатор,Статья отвечает клиентам за нас,Одна статья приводит клиентов год. Без бюджета.,"С2: Кластер: «сколько стоит X в 2026»  |  С3: Прямой ответ в первом абзаце  |  С4: AI-поиск цитирует, клиент приходит готовым  |  С5: Механика воспроизводима: GEO-пакет | Слайд 6: GEO-аудит в боте | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",GEO-аудит в боте,
2026-12-21,23,Карусель,ДЫРЫ,МИФОБОРЕЦ,Новичок,"Стоп-слова, убивающие твою рекламу",Если в рекламе есть эти слова - она не работает.,"С2: «Качество» пишут все 10 000 конкурентов  |  С3: «Индивидуальный подход» = ничего не сказал  |  С4: Замена: конкретика + цифра + срок  |  С5: Ремонт iPhone за 40 минут или вернём деньги | Слайд 6: 20 стоп-слов и замены в боте | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",20 стоп-слов и замены в боте,
2026-12-23,23,Карусель,ФОРМУЛА,КАЛЬКУЛЯТОР,Хаотик,Тест оффера за 60 секунд,Твой оффер проходит тест на «ну и что?». Проверим.,"С2: Читаешь оффер, спрашиваешь «ну и что?»  |  С3: Есть цифра? Есть срок? Есть гарантия?  |  С4: 0-1 из трёх: оффер-пустышка  |  С5: Пересборка по формуле на примере | Слайд 6: Формула оффера в боте | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Формула оффера в боте,
2026-12-25,23,Карусель,РОСТ,ДО/ПОСЛЕ,Новичок,Один оффер - другая экономика,Поменяли 8 слов. Заявка подешевела. Показываем как.,"С2: ДО: «стоматология, качественно, недорого»  |  С3: Механика: сегмент + боль + цифра  |  С4: ПОСЛЕ: «Имплант за 1 день, цена до осмотра»  |  С5: Модельный пример механики (не кейс) | Слайд 6: Пересборка оффера: шаблон | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Пересборка оффера: шаблон,
2026-12-28,24,Карусель,ФОРМУЛА,МИФОБОРЕЦ,Хаотик,«Постить каждый день» - худший совет,30 постов «для галочки» проигрывают 4 продающим.,"С2: Контент без задачи = шум  |  С3: Каждый пост: 1 боль, 1 вывод, 1 действие  |  С4: Лучше реже, но с механикой шеринга  |  С5: 3 вопроса перед публикацией | Слайд 6: Мини-гайд по контенту | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Мини-гайд по контенту,
2026-12-30,24,Карусель,ДЫРЫ,ВОПРОС-ОТВЕТ,Новичок,Почему твой контент не сохраняют,Лайкают из вежливости. Сохраняют из жадности.,"С2: Сохраняют: чек-листы, калькуляторы, схемы  |  С3: Пересылают: «это про нас», боль в лоб  |  С4: Хук: цифра + вопрос к себе  |  С5: Тест на пересылку другу | Слайд 6: Шаблоны сохраняемых постов | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Шаблоны сохраняемых постов,
2027-01-01,24,Карусель,РОСТ,ПЕРЕВЁРНУТЫЙ,Хаотик,Один пост принёс 40 заявок: анатомия,Обычный пост. Одна механика внутри. 40 заявок.,"С2: Механика: калькулятор потерь внутри поста  |  С3: Читатель считает свои цифры - вовлечён  |  С4: CTA: точный расчёт в боте  |  С5: Анатомия поста по слоям | Слайд 6: Разбор механики в боте | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Разбор механики в боте,
2027-01-04,25,Карусель,ФОРМУЛА,ДО/ПОСЛЕ,Хаотик,Форма «оставьте заявку» vs квиз,Людям лень заполнять форму. Играть - не лень.,"С2: ДО: «Оставьте заявку» и тишина  |  С3: Квиз: 5 вопросов, прогресс-бар, приз  |  С4: ПОСЛЕ: контакт в обмен на результат  |  С5: Механика + шаблон вопросов | Слайд 6: Шаблон квиза в боте | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Шаблон квиза в боте,
2027-01-06,25,Карусель,ДЫРЫ,ВОПРОС-ОТВЕТ,Новичок,5 вопросов идеального квиза,Квиз из 12 вопросов убивает конверсию. Нужно 5.,"С2: В1-2: сегментируют (что/когда)  |  С3: В3-4: греют (бюджет/предпочтения)  |  С4: В5: приближают к покупке  |  С5: Финал: результат + телефон + бонус | Слайд 6: Шаблон под твою нишу | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Шаблон под твою нишу,
2027-01-08,25,Карусель,РОСТ,ПЕРЕВЁРНУТЫЙ,Хаотик,Заявки ночью: связка квиз + бот,Утром 6 заявок. Все пришли ночью. Сами.,"С2: Квиз собрал, бот ответил, CRM записала  |  С3: Клиент получил ответ за 30 секунд в 2 ночи  |  С4: Менеджер утром дожимает тёплых  |  С5: Связка А: 5 дней до запуска | Слайд 6: Связка «Квиз-ловушка» | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Связка «Квиз-ловушка»,
2027-01-11,26,Карусель,РОСТ,ИСТОРИЯ,Все,26 недель канала: честные цифры,"Полгода назад нас было 1000. Показываем всё, что сработало.","С2: Цифры канала: рост, охваты, заявки  |  С3: Топ-5 постов и почему они взлетели  |  С4: Что провалилось и что мы выкинули  |  С5: Система целиком: скачай мега-гайд | Слайд 6: Мега-гайд системы | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Мега-гайд системы,
2027-01-13,26,Карусель,ФОРМУЛА,ПЕРЕВЁРНУТЫЙ,Все,Возьми нашу систему целиком,Вот вся наша кухня. Забирай и внедряй.,"С2: Воронка: контент - бот - продукт  |  С3: Все калькуляторы и чек-листы в одном  |  С4: Что внедрять первым: приоритизация  |  С5: Вопросы - в комментарии, отвечаем всем | Слайд 6: Мега-гайд в боте | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Мега-гайд в боте,
2027-01-15,26,Карусель,ДЫРЫ,ВОПРОС-ОТВЕТ,Все,Ответы на 10 главных вопросов подписчиков,Вы задали 500 вопросов. Отвечаем на 10 главных.,"С2: Топ-вопросы из комментариев за полгода  |  С3: Короткие ответы с ссылками на разборы  |  С4: Что будет в канале дальше  |  С5: Голосование за темы следующего сезона | Слайд 6: AI-аудит + анонс сезона 2 | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",AI-аудит + анонс сезона 2,
2026-07-21,1,Short (из карусели),,15-30 сек,,Карусель нед 1 (вт),Твой конкурент получает твоих клиентов. Бесплатно.,Бит 1: 8 из 10 бизнесов без стратегии (НАФИ). Бит 2: Из 10 заявок забываешь перезвонить 3-5. Бит 3: Бот за 30 сек + CRM + воронка. Вывод: одна цифра крупно.,Бесплатный AI-аудит в боте (ссылка в описании),
2026-07-23,1,Short (из карусели),,15-30 сек,,Карусель нед 1 (чт),Сколько заявок ты похоронил в этом месяце? Считаем.,"Бит 1: Шаг 1: заявок в месяц = А. Бит 2: Шаг 3: умножь на средний чек. Бит 3: Пример: 50 заявок, чек 8К = 160К в мусор. Вывод: одна цифра крупно.",Точный расчёт в боте за 2 мин (ссылка в описании),
2026-07-25,1,Short (из карусели),,15-30 сек,,Карусель нед 1 (сб),Клиент ждёт ответ 5 минут. Потом уходит. Навсегда.,"Бит 1: ДО: заявка ждёт в WhatsApp до вечера. Бит 2: ПОСЛЕ: бот отвечает ночью, CRM напоминает. Бит 3: Модельный расчёт: +30% дозвона = +N продаж. Вывод: одна цифра крупно.",Чек-лист «7 дыр в продажах» (ссылка в описании),
2026-07-26,1,Short (standalone),,15-30 сек,,Банк тем (вкладка 9),Проверь за 10 секунд: знаешь ли ты цену своего клиента,Бит 1: вопрос в лоб «сколько стоит твой клиент?». Бит 2: 67% не знают [ГИПОТЕЗА]. Бит 3: формула на экране: бюджет делить на клиентов. Вывод: не знаешь = переплачиваешь.,Подписка на канал + бот,
2026-07-28,2,Short (из карусели),,15-30 сек,,Карусель нед 2 (вт),Стратегия нужна только большим? 78% так думают. Зря.,"Бит 1: Миф: стратегия = толстый документ. Бит 2: 78% без стратегии реагируют, а не управляют (НАФИ). Бит 3: 5 вопросов одностраничной стратегии. Вывод: одна цифра крупно.",Шаблон стратегии на 1 страницу (ссылка в описании),
2026-07-30,2,Short (из карусели),,15-30 сек,,Карусель нед 2 (чт),Январь: таргет. Март: блогер. Июнь: SEO. Деньги: нигде.,"Бит 1: Q1: попробовали таргет, бросили. Бит 2: Q3: SEO на 2 месяца, рано бросили. Бит 3: Итог года: ничего не доведено до цифры. Вывод: одна цифра крупно.","AI-аудит покажет, что доводить первым (ссылка в описании)",
2026-08-01,2,Short (из карусели),,15-30 сек,,Карусель нед 2 (сб),«С чего начать?» - вопрос из каждого бизнес-чата. Отвечаем.,"Бит 1: В: кто мой клиент? О: один сегмент, конкретно. Бит 2: В: что обещаю? О: оффер с цифрой. Бит 3: В: как считаю? О: цена заявки и клиента. Вывод: одна цифра крупно.",Гайд для старта в боте (ссылка в описании),
2026-08-02,2,Short (standalone),,15-30 сек,,Банк тем (вкладка 9),"3 фразы менеджера, после которых клиент уходит",Бит 1: «Я вас услышал». Бит 2: «Перезвоню позже» (без времени). Бит 3: «Это надо у другого спросить». Вывод: скрипт замены в канале.,Подписка на канал + бот,
2026-08-04,3,Short (из карусели),,15-30 сек,,Карусель нед 3 (вт),Четверть селлеров ушла с маркетплейсов за год. Куда?,Бит 1: -24.5% активных селлеров (Sellmonitor). Бит 2: Свои магазины: +38% за полгода (ЮКасса). Бит 3: Селлер умеет считать. Не умеет привлекать. Вывод: одна цифра крупно.,Дорожная карта D2C в боте (ссылка в описании),
2026-08-06,3,Short (из карусели),,15-30 сек,,Карусель нед 3 (чт),Комиссия съедает 50% прибыли? Проверь за 60 секунд.,Бит 1: Маржа 10% в 2024. Бит 2: Свой канал: CAC вместо комиссии. Бит 3: Формула сравнения на твоих цифрах. Вывод: одна цифра крупно.,Калькулятор в боте (ссылка в описании),
2026-08-08,3,Short (из карусели),,15-30 сек,,Карусель нед 3 (сб),База 2 000 покупателей. Ноль комиссий. Так можно.,"Бит 1: Это не корпорация, это малый селлер. Бит 2: Было: весь трафик принадлежал платформе. Бит 3: Первый шаг: увести повторные покупки к себе. Вывод: одна цифра крупно.",Дорожная карта D2C (ссылка в описании),
2026-08-09,3,Short (standalone),,15-30 сек,,Банк тем (вкладка 9),Почему «дорого» - это не возражение,Бит 1: «дорого» = «не понял ценность». Бит 2: клиент сравнивает с чем-то - узнай с чем. Бит 3: ответ вопросом: «дорого относительно чего?». Вывод: скрипт в канале.,Подписка на канал + бот,
2026-08-11,4,Short (из карусели),,15-30 сек,,Карусель нед 4 (вт),46% бизнесов кормят рекламу 3 месяца до первого плюса.,"Бит 1: 46% окупают рекламу через 3+ мес (НАФИ). Бит 2: CAC растёт из-за потери лидов, не кликов. Бит 3: Что чинить до бюджета: воронку. Вывод: одна цифра крупно.",AI-аудит: где твой минус (ссылка в описании),
2026-08-13,4,Short (из карусели),,15-30 сек,,Карусель нед 4 (чт),"Ты знаешь, сколько МОЖЕШЬ платить за клиента? 67% - нет.",Бит 1: Чек умножь на маржу = грязная прибыль. Бит 2: Клиент дороже 30% прибыли = минус. Бит 3: Пример на цифрах кофейни. Вывод: одна цифра крупно.,Калькулятор юнит-экономики (ссылка в описании),
2026-08-15,4,Short (из карусели),,15-30 сек,,Карусель нед 4 (сб),Бюджет тот же. Результат другой. Что поменяли?,"Бит 1: ДО: клики на главную, форма в подвале. Бит 2: ПОСЛЕ: заявка дешевле, обработка за 30 сек. Бит 3: Модельный расчёт до/после (не кейс). Вывод: одна цифра крупно.",Разбор твоей связки в боте (ссылка в описании),
2026-08-16,4,Short (standalone),,15-30 сек,,Банк тем (вкладка 9),Сколько заявок умирает ночью: одна цифра,"Бит 1: заявки приходят в 22-02, когда все спят. Бит 2: утром клиент уже записался к конкуренту. Бит 3: бот отвечает за 30 секунд всегда. Вывод: посчитай свои ночные.",Подписка на канал + бот,
2026-08-18,5,Short (из карусели),,15-30 сек,,Карусель нед 5 (вт),Охваты растут. Касса молчит. Знакомый отчёт?,"Бит 1: 39% смотрят на охваты, не на продажи (NMi). Бит 2: 3 вопроса агентству: заявки, цена, продажи. Бит 3: Отчёт собственника: 3 цифры, не 30. Вывод: одна цифра крупно.",Шаблон отчёта в боте (ссылка в описании),
2026-08-20,5,Short (из карусели),,15-30 сек,,Карусель нед 5 (чт),Всего 3 цифры отделяют тебя от контроля над маркетингом.,Бит 1: Цифра 1: заявки по каналам. Бит 2: Цифра 3: конверсия в оплату. Бит 3: Где брать без сложной аналитики. Вывод: одна цифра крупно.,Шаблон отчёта собственника (ссылка в описании),
2026-08-22,5,Short (из карусели),,15-30 сек,,Карусель нед 5 (сб),Он тратил 300К в месяц. И не видел ни одной цифры.,"Бит 1: Отчёты были: 30 страниц тумана. Бит 2: Нашли канал, работавший в минус год. Бит 3: Экран собственника: 30 секунд в день. Вывод: одна цифра крупно.",Пульс: аналитика за 3 дня (ссылка в описании),
2026-08-23,5,Short (standalone),,15-30 сек,,Банк тем (вкладка 9),Тест: твой маркетинг - система или лотерея,Бит 1: 3 вопроса да/нет на экране. Бит 2: знаешь цену заявки? откуда клиенты? что дальше? Бит 3: 0-1 «да» = лотерея. Вывод: аудит в боте.,Подписка на канал + бот,
2026-08-25,6,Short (из карусели),,15-30 сек,,Карусель нед 6 (вт),09:00. Ты уже потерял 12 000 рублей.,"Бит 1: 09-11: ручной разбор заявок в 3 мессенджерах. Бит 2: 16:00: отчёт в Excel, непонятно ничего. Бит 3: AI закрывает 70% этой рутины. Вывод: одна цифра крупно.",Шаблон AI-рутины (ссылка в описании),
2026-08-27,6,Short (из карусели),,15-30 сек,,Карусель нед 6 (чт),AI-хайп всюду. Что реально работает у малого бизнеса?,Бит 1: 1: ответы на типовые вопросы (бот). Бит 2: 3: тексты и креативы (черновики). Бит 3: НЕ отдавать: стратегию и цены. Вывод: одна цифра крупно.,Шаблон AI-рутины в боте (ссылка в описании),
2026-08-29,6,Short (из карусели),,15-30 сек,,Карусель нед 6 (сб),Бот сам отвечает на 7 из 10 заявок. Ночью. За 8К в месяц.,"Бит 1: Это малый бизнес, не корпорация. Бит 2: Страх «AI заменит людей»: люди ушли на сложные сделки. Бит 3: Стек: конструктор + GigaChat, без кода. Вывод: одна цифра крупно.",Шаблон бота в боте (ссылка в описании),
2026-08-30,6,Short (standalone),,15-30 сек,,Банк тем (вкладка 9),Одна строка в карточке на картах = +звонки,"Бит 1: пустое поле «услуги» в карточке. Бит 2: клиент ищет конкретную услугу, не название фирмы. Бит 3: заполни услуги и цены. Вывод: чек-лист карточки.",Подписка на канал + бот,
2026-09-01,7,Short (из карусели),,15-30 сек,,Карусель нед 7 (вт),15 000 000 рублей. За таблицу с телефонами клиентов.,Бит 1: ПД = имя + телефон. Почти всё. Бит 2: Штрафы юрлицам до 15 млн (152-ФЗ). Бит 3: Решение: российские AI для ПД + 10 шагов. Вывод: одна цифра крупно.,Чек-лист 152-ФЗ (ссылка в описании),
2026-09-03,7,Short (из карусели),,15-30 сек,,Карусель нед 7 (чт),В какой AI нельзя загружать клиентскую базу? Спойлер: почти во все.,"Бит 1: В: ChatGPT для писем клиентам? О: без ПД. Бит 2: В: согласие клиента? О: обязательно, шаблон есть. Бит 3: В: с чего начать? О: аудит того, где лежит база. Вывод: одна цифра крупно.",Чек-лист 152-ФЗ в боте (ссылка в описании),
2026-09-05,7,Short (из карусели),,15-30 сек,,Карусель нед 7 (сб),База клиентов гуляла по 4 личным телефонам менеджеров.,"Бит 1: Менеджер ушёл, база ушла с ним. Бит 2: Восстановить доверие дороже, чем защитить. Бит 3: Порядок: 1 хранилище, роли, согласия. Вывод: одна цифра крупно.",Чек-лист 152-ФЗ (ссылка в описании),
2026-09-06,7,Short (standalone),,15-30 сек,,Банк тем (вкладка 9),Самая дорогая ошибка в рекламном кабинете,"Бит 1: реклама ведёт на главную страницу. Бит 2: клиент не находит то, что обещали, уходит. Бит 3: объявление и посадочная = одно обещание. Вывод: проверь свои связки.",Подписка на канал + бот,
2026-09-08,8,Short (из карусели),,15-30 сек,,Карусель нед 8 (вт),Скинул 20% цены. Потерял 50% прибыли. Посчитаем?,"Бит 1: Маржа 40%: скидка 20% режет прибыль вдвое. Бит 2: Дешёвые клиенты: больше возвратов, ноль лояльности. Бит 3: Альтернатива: пакет ценности вместо скидки. Вывод: одна цифра крупно.",Калькулятор скидки в боте (ссылка в описании),
2026-09-10,8,Short (из карусели),,15-30 сек,,Карусель нед 8 (чт),Меньше клиентов. Больше денег. Это не парадокс.,"Бит 1: ДО: услуга 3 000, очередь и усталость. Бит 2: ПОСЛЕ: клиентов меньше, выручка выше (модель). Бит 3: Лестница: базовый / стандарт / премиум. Вывод: одна цифра крупно.",Шаблон пакетирования (ссылка в описании),
2026-09-12,8,Short (из карусели),,15-30 сек,,Карусель нед 8 (сб),"Думаешь, клиенты уходят из-за цены? Чаще всего нет [ГИПОТЕЗА]","Бит 1: Уходят из-за: не перезвонили. Бит 2: Из-за: конкурент ответил быстрее. Бит 3: Цена - последнее, что чинят первым. Вывод: одна цифра крупно.",AI-аудит: почему уходят у тебя (ссылка в описании),
2026-09-13,8,Short (standalone),,15-30 сек,,Банк тем (вкладка 9),«Мы подумаем»: что ответить за 5 секунд,"Бит 1: «подумаем» = вопрос без ответа остался. Бит 2: спроси: «что смущает: цена, сроки или состав?». Бит 3: получишь настоящее возражение. Вывод: скрипты в канале.",Подписка на канал + бот,
2026-09-15,9,Short (из карусели),,15-30 сек,,Карусель нед 9 (вт),В твоём телефоне лежит выручка квартала. Мёртвым грузом.,Бит 1: LTV считают 33% компаний РФ vs 93% UK. Бит 2: 76-86% баз лежат в Excel и WhatsApp. Бит 3: Реанимация: сегменты + честный повод вернуться. Вывод: одна цифра крупно.,Шаблон реанимации базы (ссылка в описании),
2026-09-17,9,Short (из карусели),,15-30 сек,,Карусель нед 9 (чт),«Мы вас потеряли» не работает. Что работает?,"Бит 1: Повод: новинка/сезон/личная дата. Бит 2: Канал: там, где клиент уже писал вам. Бит 3: 3 касания, не 10. Вывод: одна цифра крупно.",Серия сообщений: шаблон в боте (ссылка в описании),
2026-09-19,9,Short (из карусели),,15-30 сек,,Карусель нед 9 (сб),2 000 контактов из заказов. Одна рассылка. Что вышло?,"Бит 1: Селлер собрал контакты из заказов (легально). Бит 2: Честный повод: пополнение + бонус повторным. Бит 3: Модельная механика, цифры зависят от базы. Вывод: одна цифра крупно.",Дорожная карта реанимации (ссылка в описании),
2026-09-20,9,Short (standalone),,15-30 сек,,Банк тем (вкладка 9),"Почему скидка 20% опаснее, чем кажется","Бит 1: маржа 40%, скидка 20%. Бит 2: прибыль упала вдвое, на экране расчёт. Бит 3: нужно 2 раза больше клиентов, чтобы выйти в ноль. Вывод: калькулятор в боте.",Подписка на канал + бот,
2026-09-22,10,Short (из карусели),,15-30 сек,,Карусель нед 10 (вт),Клиенты ищут тебя на карте прямо сейчас. Находят конкурента.,"Бит 1: Карточка на 100%: фото, цены, часы, акции. Бит 2: Ответ на негатив = витрина для будущих. Бит 3: Возвратный клиент с карт в 13-18х дешевле (Calltouch). Вывод: одна цифра крупно.",Чек-лист карточки в боте (ссылка в описании),
2026-09-24,10,Short (из карусели),,15-30 сек,,Карусель нед 10 (чт),Две карточки. Одна молчит. Вторая приносит звонки.,"Бит 1: ДО: 2 фото, нет цен, отзыв 2022 года. Бит 2: ПОСЛЕ: карточка отвечает на вопросы до звонка. Бит 3: Проверь свою: чек-лист из 12 пунктов. Вывод: одна цифра крупно.",Чек-лист «Карточка на 100%» (ссылка в описании),
2026-09-26,10,Short (из карусели),,15-30 сек,,Карусель нед 10 (сб),Ноль рублей на рекламу. Очередь из карт и отзывов.,Бит 1: Кафе у дома: бюджета нет вообще. Бит 2: Каждый довольный гость = отзыв. Бит 3: Механика воспроизводима: связка В. Вывод: одна цифра крупно.,Связка «Карты и отзывы» (ссылка в описании),
2026-09-27,10,Short (standalone),,15-30 сек,,Банк тем (вкладка 9),"Один вопрос агентству, который всё меняет",Бит 1: «какую цифру вы улучшите за 30 дней?». Бит 2: мнутся = нет гипотез. Бит 3: называют цифру = можно работать. Вывод: гайд-детектор в боте.,Подписка на канал + бот,
2026-09-29,11,Short (из карусели),,15-30 сек,,Карусель нед 11 (вт),"«Рынок сложный, нужен бюджет побольше». Переводим с агентского.","Бит 1: «Нужно время» = нет гипотез. Бит 2: «Добавьте бюджет» = не считаем юнит. Бит 3: Проси 3 цифры: заявки, цена, продажи. Вывод: одна цифра крупно.",Гайд-детектор подрядчика (ссылка в описании),
2026-10-01,11,Short (из карусели),,15-30 сек,,Карусель нед 11 (чт),Один разговор до договора экономит 300К после.,"Бит 1: В1: какую цифру улучшите за 30 дней?. Бит 2: В3: что сделаете, если не выйдет?. Бит 3: Ответы мимо - беги. Вывод: одна цифра крупно.",Полный список вопросов в боте (ссылка в описании),
2026-10-03,11,Short (из карусели),,15-30 сек,,Карусель нед 11 (сб),"800К, три агентства, ноль системы. Разбор без имён.","Бит 1: А1: отчёты красивые, заявок ноль. Бит 2: А3: всё ок, но клиент дороже маржи. Бит 3: Проблема была не в агентствах. Вывод: одна цифра крупно.",AI-аудит: где дыра у тебя (ссылка в описании),
2026-10-04,11,Short (standalone),,15-30 сек,,Банк тем (вкладка 9),CRM за 0 рублей: с чего начать сегодня,"Бит 1: CRM - это дисциплина, не софт. Бит 2: таблица: имя, телефон, статус, следующее касание. Бит 3: правило «нет в таблице = нет сделки». Вывод: шаблон в боте.",Подписка на канал + бот,
2026-10-06,12,Short (из карусели),,15-30 сек,,Карусель нед 12 (вт),Декабрьская касса делается в октябре. Уже пора.,Бит 1: Т-60: оффер и креативы. Бит 2: Т-14: пик рекламы. Бит 3: Т+7: допродажа и сбор отзывов. Вывод: одна цифра крупно.,Календарь офферов в боте (ссылка в описании),
2026-10-08,12,Short (из карусели),,15-30 сек,,Карусель нед 12 (чт),Несезон съедает прибыль сезона? Посчитай подушку.,"Бит 1: Средний минус месяца несезона = X. Бит 2: Продукты несезона: абонементы, предзаказы. Бит 3: Сместить спрос: ранняя цена. Вывод: одна цифра крупно.",Калькулятор подушки (ссылка в описании),
2026-10-10,12,Short (из карусели),,15-30 сек,,Карусель нед 12 (сб),Он продаёт кондиционеры в январе. Дешевле и без очереди.,Бит 1: Механика ранней цены: скидка за предзаказ. Бит 2: Рассрочка спроса вместо провала. Бит 3: Шаблон предзаказной кампании. Вывод: одна цифра крупно.,Шаблон кампании в боте (ссылка в описании),
2026-10-11,12,Short (standalone),,15-30 сек,,Банк тем (вкладка 9),Клиент читает отзывы до звонка. Что он видит у тебя?,Бит 1: открой свою карточку глазами клиента. Бит 2: старый негатив без ответа = приговор. Бит 3: ответ на негатив пишется для будущих клиентов. Вывод: скрипт ответа в канале.,Подписка на канал + бот,
2026-10-13,13,Short (из карусели),,15-30 сек,,Карусель нед 13 (вт),Ты «присутствуешь везде». Продаёт нигде.,"Бит 1: Соцсети, карты, сайт, рассылка: всё вполсилы. Бит 2: Один канал до результата, потом следующий. Бит 3: Минимальный стек: 5 элементов. Вывод: одна цифра крупно.",Карта стека в боте (ссылка в описании),
2026-10-15,13,Short (из карусели),,15-30 сек,,Карусель нед 13 (чт),Не нужно 10 инструментов. Нужно 5. Вот они.,Бит 1: 1: точка захвата (квиз/лендинг). Бит 2: 3: таблица-CRM. Бит 3: 4: карточки на картах. Вывод: одна цифра крупно.,Карта стека: скачай в боте (ссылка в описании),
2026-10-17,13,Short (из карусели),,15-30 сек,,Карусель нед 13 (сб),Месяц активности во всех каналах. Разбор чека.,Бит 1: Нед 1: 30К таргет без лендинга. Бит 2: Нед 3-4: SMM «для присутствия». Бит 3: Те же 90К в одну связку: другая картина. Вывод: одна цифра крупно.,AI-аудит распределения бюджета (ссылка в описании),
2026-10-18,13,Short (standalone),,15-30 сек,,Банк тем (вкладка 9),Почему форма «оставьте заявку» мертва,Бит 1: форма = работа для клиента. Бит 2: квиз = игра с призом. Бит 3: сравнение конверсии на экране [ГИПОТЕЗА]. Вывод: шаблон квиза.,Подписка на канал + бот,
2026-10-20,14,Short (из карусели),,15-30 сек,,Карусель нед 14 (вт),Заявка остывает за минуты. Дальше она чужая. [скорость: ГИПОТЕЗА],Бит 1: Клиент пишет троим сразу. Бит 2: Ночные заявки умирают до утра. Бит 3: Бот отвечает за 30 секунд всегда. Вывод: одна цифра крупно.,Скрипт первого ответа в боте (ссылка в описании),
2026-10-22,14,Short (из карусели),,15-30 сек,,Карусель нед 14 (чт),"«Здравствуйте, чем помочь?» - худший первый ответ.",Бит 1: Сразу: имя + конкретный вопрос по делу. Бит 2: Зафиксируй следующее касание. Бит 3: Шаблон под услуги/товары. Вывод: одна цифра крупно.,Скрипт + SLA-шаблон (ссылка в описании),
2026-10-24,14,Short (из карусели),,15-30 сек,,Карусель нед 14 (сб),Ответ за 30 секунд в 3 часа ночи. Без ночной смены.,Бит 1: Не магия: бот + очередь + дежурный. Бит 2: Сложное падает менеджеру к утру с контекстом. Бит 3: Внедрение за неделю: связка А. Вывод: одна цифра крупно.,Связка «Квиз-ловушка» (ссылка в описании),
2026-10-25,14,Short (standalone),,15-30 сек,,Банк тем (вкладка 9),Цифра дня: 78% без стратегии,"Бит 1: 78% МСБ живут без письменной стратегии (НАФИ). Бит 2: это не документ, это 5 ответов на 1 странице. Бит 3: вопросы на экране. Вывод: шаблон в боте.",Подписка на канал + бот,
2026-10-27,15,Short (из карусели),,15-30 сек,,Карусель нед 15 (вт),Твой сайт - визитка 2015-го. Клиент это чувствует.,"Бит 1: ДО: «О компании» и форма в подвале. Бит 2: ПОСЛЕ: один экран, один оффер, квиз. Бит 3: Конверсия решается до дизайна. Вывод: одна цифра крупно.",Чек-лист лендинга в боте (ссылка в описании),
2026-10-29,15,Short (из карусели),,15-30 сек,,Карусель нед 15 (чт),Лендинг - это 6 блоков. Остальное - украшения.,Бит 1: Оффер с цифрой на первом экране. Бит 2: Соцдоказательства: отзывы с именами. Бит 3: Ответ за 30 сек после отправки. Вывод: одна цифра крупно.,Структура лендинга: шаблон (ссылка в описании),
2026-10-31,15,Short (из карусели),,15-30 сек,,Карусель нед 15 (сб),Сайт за 150К приносит 0 заявок. Считаем убыток.,"Бит 1: 150К сайт + 50К/мес трафик. Бит 2: Разница за год: сотни потерянных заявок. Бит 3: Чинится структурой, не редизайном. Вывод: одна цифра крупно.",Аудит сайта в боте (ссылка в описании),
2026-11-01,15,Short (standalone),,15-30 сек,,Банк тем (вкладка 9),Как AI отвечает клиентам ночью: 15 секунд демо,"Бит 1: экран: клиент пишет в 1:47 ночи. Бит 2: бот отвечает, задаёт вопрос, записывает. Бит 3: утром менеджер видит готовую заявку. Вывод: шаблон бота.",Подписка на канал + бот,
2026-11-03,16,Short (из карусели),,15-30 сек,,Карусель нед 16 (вт),Соцсети дают охват. Телеграм даёт базу. Разница огромна.,"Бит 1: Подписчик канала = твой актив, не алгоритма. Бит 2: Лид из TG на 30-60% дешевле контекста (OneSpot). Бит 3: Канал + бот = дом и касса. Вывод: одна цифра крупно.",Стартовый набор канала (ссылка в описании),
2026-11-05,16,Short (из карусели),,15-30 сек,,Карусель нед 16 (чт),Каналу бизнеса не нужен миллион. Нужна тысяча правильных.,"Бит 1: 1 000 живых из твоего города > 50К ботов. Бит 2: Контент: польза + закулисье + оффер. Бит 3: Первые 500: клиенты, партнёры, чаты. Вывод: одна цифра крупно.",План первой 1000 подписчиков (ссылка в описании),
2026-11-07,16,Short (из карусели),,15-30 сек,,Карусель нед 16 (сб),Канал на 3 000 приносит заявки стабильнее таргета.,"Бит 1: Прогрев: 80% пользы, 20% оффера. Бит 2: База не сгорает при блокировках площадок. Бит 3: Механика воспроизводима: набор в боте. Вывод: одна цифра крупно.",Стартовый набор TG-канала (ссылка в описании),
